"","Code","Revised.Intervention.Name","Country","adjusted_uc","pin_sum","total_cost","pin_sum_adjusted","total_cost_adjusted","increment","Super_region","NCD_region","SDI","World_bank","iso3","period","life_years_gained","deaths_averted","ICER","ICER_rank"
"16","HC38","Provision of aspirin for all cases of suspected acute myocardial infarction","Afghanistan",3.14477674550145,10766.7773655716,33859.1110832409,38301.7573527304,120450.475834706,86591.3647514647,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",29948.6364999998,11102.845,2.89132911782028,2
"17","HC39","Screening and management of albuminuric kidney disease with ACEi or ARBs, including targeted screening among people with diabetes","Afghanistan",58.7433252085005,104997.345569856,6167893.21683935,242020.657442931,14217098.1873452,8049204.97050587,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",220.726000000817,81.7659999999786,36466.9543709218,28
"18","HC40","Screening and management of diabetes among at-risk adults, including glycemic control, management of blood pressure and lipids, and consistent foot care","Afghanistan",13.2172481719126,614360.675930584,8120157.52083852,1419152.00641157,18757284.2624094,10637126.7415709,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",3999.65299999951,1528.47199999999,2659.51239809359,18
"19","HC41","Secondary prophylaxis with penicillin for rheumatic fever or established rheumatic heart disease","Afghanistan",55.4730650462722,76333.8531273477,4234472.79976595,176556.373613926,9794123.19781926,5559650.39805331,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",628.833000000638,195.239999999994,8841.21920771918,21
"20","HC43","Long term management of ischemic heart disease, stroke, and peripheral vascular disease with aspirin, beta blockers, ACEi, and statins (as indicated) to reduce risk of further events","Afghanistan",8.8179141926367,234620.141155713,2068860.27257539,543770.274430563,4794919.62043521,2726059.34785982,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",89048.3710000004,33069.998,30.613242187887,8
"21","HC44","Medical management of heart failure with diuretics, beta-blockers, ACEi, and mineralocorticoid antagonists","Afghanistan",1.49826737029133,20821.5587224524,31196.2620324554,74635.9017541164,111824.536250462,80628.2742180069,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",59029.0725000012,21884.239,1.36590786206247,1
"22","HC45","Opportunistic screening for hypertension for all adults and initiation of treatment among individuals with severe hypertension and/or multiple risk factors","Afghanistan",7.86194186375362,3880438.01594655,30507778.0872712,14195335.600295,111602903.225991,81095125.1387199,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",36912.2445000026,13654.129,2196.97084902854,17
"23","HC49","Management of bipolar disorder using generic mood-stabilizing medications and psychosocial treatment","Afghanistan",19.8641490001055,61492.2063279444,1221490.34884352,235117.310229099,4670405.28289486,3448914.93405134,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",290.799499999694,106.030999999993,11860.113012763,23
"24","HC50.1","Management of depression disorders with psycological and generic antidepressant therapy","Afghanistan",23.8369788001266,271987.29531107,6483355.39223376,1040281.26802828,24797162.532159,18313807.1399253,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",1362.68200000119,496.837999999981,13439.531115777,24
"25","HC50.2","Management of anxiety disorders with psycological and generic antidepressant therapy","Afghanistan",11.9184894000633,250557.033082548,2986261.34290566,1391009.69965459,16578734.3607185,13592473.0178129,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",193.727500000014,70.6549999999865,70162.8473903388,29
"26","HC51","Management of epilepsy, including acute stabilization and long-term management with generic anti-epileptics","Afghanistan",37.7418831002005,37909.5031288706,1430776.03547652,104353.453531826,3938495.8443004,2507719.80882388,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",851.888500000105,239.776999999981,2943.71834908391,19
"27","HC52","Management of schizophrenia using generic anti-psychotic medications and psychosocial treatment","Afghanistan",81.4430109004327,108169.213024543,8809626.39544908,153608.709770521,12510355.8242419,3700729.42879286,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",194.609499999795,70.9729999999866,19016.1807558047,27
"28","HC53","Screening and brief intervention for alcohol use disorders","Afghanistan",51.6467874002744,21753.2061742888,1123483.21455783,135223.190649336,6983843.37905303,5860360.1644952,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",54.2195000001034,19.2669999999893,108085.839310286,30
"29","RH4","Management of acute ventilatory failure due to acute exacerbations of asthma and COPD; in COPD use of bilevel positive airway pressure preferred","Afghanistan",32.4397274237524,32079.3536804833,1040645.48932503,74046.9338356522,2402062.35019319,1361416.86086816,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",7855.85299999993,2833.19599999999,173.299686344458,12
"30","RH7","Treatment of early stage breast cancer with appropriate multimodal approaches (including generic chemotherapy), with curative intent, for cases detected by clinical examination at health centers and first-level hospitals","Afghanistan",19.5989037326432,287.401250779418,5632.74944666708,804.063507491038,15758.7632782483,10126.0138315812,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",364.319999999651,130.349999999978,27.7942847814859,6
"31","RH8","Treatment of early stage colorectal cancer with appropriate multimodal approaches (including generic chemotherapy), with curative intent, for cases detected by clinical examination at health centers and first-level hospitals","Afghanistan",7.66798738978476,105.888985790047,811.955407755181,296.505931955856,2273.60374723388,1461.6483394787,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",293.726000000796,110.669999999992,4.97623070301825,4
"32","C31","Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs","Albania",24.3917155055489,2194.18818966957,53520.0140880556,4714.54534661329,114995.848832601,61475.8347445454,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",14.2565000000626,6.06500000000014,4312.12673126472,18
"33","C47","Exercise-based pulmonary rehabilitation for patients with obstructive lung disease","Albania",32.928815932491,79098.5758740042,2604622.44547726,85340.661994398,2810166.95037047,205544.504893204,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",276.686000000102,102.994000000001,742.880033298135,14
"34","FLH13","Early detection and treatment of early-stage cervical cancer","Albania",62.7470610410764,584.869729491279,36698.8566174671,709.471190584982,44517.232102521,7818.37548505389,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",17.9340000000053,6.70799999999984,435.952686798906,13
"35","FLH20","Management of acute coronary syndromes with aspirin, unfractionated heparin, and generic thrombolytics (when indicated)","Albania",23.7481057608183,27090.5352667549,643348.896632074,31348.0236298488,744456.180554281,101107.283922207,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",4617.31149999997,1682.861,21.8974361860159,5
"36","FLH22.1","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Albania",30.5316848815405,80959.2490067395,2471822.27891994,87346.933817024,2666849.05867015,195026.779750209,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",736.054000000077,274.014,264.962597513482,11
"37","FLH22.2","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Albania",30.5316848815405,66944.7516875799,2043936.06299816,72241.4446238446,2205653.02264248,161716.959644315,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",208.239000000068,73.4840000000002,776.593047624426,16
"38","FLH23","Medical management of acute heart failure","Albania",23.3954331648931,68424.8261726714,1600828.44754217,79497.2660305407,1859872.97420925,259044.526667079,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",5741.53500000005,2100.362,45.1176430461674,6
"39","FLH24","Management of bowel obstruction","Albania",26.8915975890327,633.620081210926,17039.0562482545,733.471680953347,19724.2252871488,2685.16903889435,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",19.3915000000059,5.25500000000064,138.471445679475,10
"40","FLH31","Appendectomy","Albania",26.8915975890327,10231.3685940649,275137.847016661,11812.06257117,317645.23336038,42507.3863437184,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",2.16550000000257,0.805000000000555,19629.3633542683,26
"41","FLH37","Hernia repair including emergency surgery","Albania",26.8915975890327,33711.8602471845,906565.779744995,39193.8256632369,1053984.58771047,147418.807965474,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",5.2890000000574,1.90400000000031,27872.7184654707,27
"42","FLH44","Repair of perforations (for example, perforated peptic ulcer, typhoid ileal perforation)","Albania",26.8915975890327,874.578711312457,23518.8187645494,1151.36413027964,30962.0208699269,7443.20210537745,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",9.76000000005558,3.55000000000054,762.623166530231,15
"43","HC18","Opportunistic screening for cervical cancer using visual inspection or HPV DNA testing and treatment of precancerous lesions with cryotherapy","Albania",58.265128109571,854726.123491543,49800727.0838317,1036197.60797925,60374186.375742,10573459.2919103,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",35.1589999999894,13.1179999999999,300732.651438137,32
"44","HC36","Long-term combination therapy for persons with multiple CVD risk factors, including screening for CVD in community settings using non-lab-based tools to assess overall CVD risk","Albania",45.0928438522005,51284.6255055425,2312569.60994001,59779.039579555,2695606.89739539,383037.28745538,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",7949.90000000001,2900.37,48.1813969301978,7
"45","HC37.1","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Albania",42.6855021347106,282345.406263733,12052055.4417963,304617.164434052,13002736.6227192,950681.180922888,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",602.657500000082,224.339,1577.48170548406,17
"46","HC37.2","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Albania",42.6855021347106,495887.049537629,21167187.7116138,535119.026963672,22841824.3677821,1674636.6561683,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",129.465500000061,45.7030000000006,12935.003195195,23
"47","HC38","Provision of aspirin for all cases of suspected acute myocardial infarction","Albania",3.65875732583234,37782.4620605348,138236.859851964,43826.4620545182,160350.389107281,22113.5292553172,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",2353.74100000003,857.420000000001,9.39505631899047,2
"48","HC39","Screening and management of albuminuric kidney disease with ACEi or ARBs, including targeted screening among people with diabetes","Albania",48.1121969875485,248273.715930024,11944993.927656,268121.451204967,12899912.0769608,954918.1493048,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",10.3960000000187,3.95000000000062,91854.3814258446,29
"49","HC40","Screening and management of diabetes among at-risk adults, including glycemic control, management of blood pressure and lipids, and consistent foot care","Albania",10.8252443221984,820992.614327241,8887445.6368128,887960.722687227,9612391.77160511,724946.134792315,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",68.6625000000605,26.4590000000017,10558.1086443354,21
"50","HC41","Secondary prophylaxis with penicillin for rheumatic fever or established rheumatic heart disease","Albania",41.1159925198833,69451.1576060297,2855553.27662676,74917.1312248034,3080292.20705014,224738.930423378,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",20.2950000001312,7.40199999999908,11073.6107623516,22
"51","HC43","Long term management of ischemic heart disease, stroke, and peripheral vascular disease with aspirin, beta blockers, ACEi, and statins (as indicated) to reduce risk of further events","Albania",8.53107856663254,953690.140913563,8136005.52035646,1031634.7405143,8800957.0233951,664951.503038637,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",8129.18650000011,2965.811,81.7980376066693,8
"52","HC44","Medical management of heart failure with diuretics, beta-blockers, ACEi, and mineralocorticoid antagonists","Albania",3.34220473784188,136598.633302492,456540.599406315,158692.471661146,530382.730645722,73842.1312394071,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",5119.94450000014,1873.503,14.4224475947747,3
"53","HC45","Opportunistic screening for hypertension for all adults and initiation of treatment among individuals with severe hypertension and/or multiple risk factors","Albania",19.5133724044391,8930705.44892742,174268181.259275,10362623.7795658,202209736.897763,27941555.6384887,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",2726.09400000003,995.804,10249.6669735117,20
"54","HC49","Management of bipolar disorder using generic mood-stabilizing medications and psychosocial treatment","Albania",35.8554634520437,20942.2259758767,750893.218082485,38921.2596605096,1395539.8032649,644646.585182418,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",20.3065000000703,7.64499999999951,31745.8244985688,28
"55","HC50.1","Management of depression disorders with psycological and generic antidepressant therapy","Albania",46.3133069588897,41473.2464145507,1920763.19177876,77380.1330284688,3583729.8534672,1662966.66168844,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",95.930000000074,36.122,17335.2096496107,25
"56","HC50.2","Management of anxiety disorders with psycological and generic antidepressant therapy","Albania",37.3494410958788,58313.0112558136,2177958.37902233,138960.072724186,5190081.05089104,3012122.67186871,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",13.5155000000508,5.09500000000025,222864.316662897,31
"57","HC51","Management of epilepsy, including acute stabilization and long-term management with generic anti-epileptics","Albania",44.8193293150546,94175.9869940255,4220904.57465553,100748.964214754,4515501.00529171,294596.430636185,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",49.3700000001081,18.1720000000003,5967.11425228965,19
"58","HC52","Management of schizophrenia using generic anti-psychotic medications and psychosocial treatment","Albania",31.3735305205382,34252.3277869387,1074616.451223,40398.5097969519,1267443.88009893,192827.428875932,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",13.6545000000436,5.14700000000017,14121.8959958487,24
"59","HC53","Screening and brief intervention for alcohol use disorders","Albania",19.421709369857,22650.9230693197,439919.644811316,48320.0538520039,938458.042649459,498538.397838142,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",5.0550000000286,1.98800000000051,98622.8284540696,30
"60","RH4","Management of acute ventilatory failure due to acute exacerbations of asthma and COPD; in COPD use of bilevel positive airway pressure preferred","Albania",56.7859727344984,29580.8001388639,1679774.51015017,31916.8059315951,1812426.87140384,132652.361253665,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",396.375000000092,146.312,334.663793765082,12
"61","RH6","Use of percutaneous coronary intervention for acute myocardial infarction where resources permit","Albania",0.468863017334477,2628.5716770876,1232.44004779924,3040.17159315353,1425.42402638053,192.983978581291,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",1229.27950000007,447.717000000001,0.15698950367372,1
"62","RH7","Treatment of early stage breast cancer with appropriate multimodal approaches (including generic chemotherapy), with curative intent, for cases detected by clinical examination at health centers and first-level hospitals","Albania",27.1223469765494,675.394952029803,18318.2962351622,822.603204691757,22310.9295416713,3992.63330650907,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",43.9315000000395,16.6490000000001,90.883154604452,9
"63","RH8","Treatment of early stage colorectal cancer with appropriate multimodal approaches (including generic chemotherapy), with curative intent, for cases detected by clinical examination at health centers and first-level hospitals","Albania",13.4428161928394,336.320512346255,4521.09482935228,411.973821817943,5538.08836296018,1016.9935336079,"Central Europe, Eastern Europe, and Central Asia","Central and Eastern Europe","Middle SDI","UMIC","ALB","2020-2030",47.0205000000583,17.7290000000002,21.6287264832708,4
"64","C31","Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs","Algeria",23.2289234165722,317541.509756367,7376147.41171337,690860.863483921,16047954.089375,8671806.67766159,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",1141.4310000008,454.623999999996,7597.31133783429,20
"65","C47","Exercise-based pulmonary rehabilitation for patients with obstructive lung disease","Algeria",31.3590466123725,759246.180760139,23809236.372723,822263.455409394,25785398.0258337,1976161.65311069,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",3659.98950000048,1437.09499999998,539.936426896969,14
"66","FLH13","Early detection and treatment of early-stage cervical cancer","Algeria",59.5159568151453,9629.13635878632,573087.263696672,11716.9881342557,697347.759801931,124260.496105259,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",282.28049999945,102.591,440.202196416335,12
"67","FLH20","Management of acute coronary syndromes with aspirin, unfractionated heparin, and generic thrombolytics (when indicated)","Algeria",22.6426543005145,531432.221608982,12033036.0780466,621288.077075532,14067611.1502527,2034575.07220609,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",59829.2085000005,23545.385,34.0063845605791,5
"68","FLH22.1","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Algeria",28.9742111674146,841447.256560978,24380270.4978395,911046.306631811,26396848.0716432,2016577.57380377,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",9735.62399999941,3823.014,207.133880047534,10
"69","FLH22.2","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Algeria",28.9742111674146,2459198.93902869,71253349.3620993,2667710.63521826,77294811.2783715,6041461.91627219,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",5149.03849999898,1875.195,1173.31845863522,16
"70","FLH23","Medical management of acute heart failure","Algeria",22.1313742919501,783466.636998899,17339193.388678,917502.052730911,20305581.3426203,2966387.95394228,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",81214.7429999994,31800.162,36.5252396839118,6
"71","FLH24","Management of bowel obstruction","Algeria",25.5068386350623,15116.487857178,385573.816501918,17569.3458865177,448138.470451003,62564.653949085,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",236.296999999586,64.9639999999935,264.771257989711,11
"72","FLH31","Appendectomy","Algeria",25.5068386350623,479047.973169314,12218999.3500833,555819.426401069,14177196.4194449,1958197.06936162,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",111.319000000269,39.9840000000082,17590.8611230507,23
"73","FLH37","Hernia repair including emergency surgery","Algeria",25.5068386350623,141635.072692898,3612662.94424307,165159.964455032,4212708.56232712,600045.618084055,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",12.2399999991562,4.70199999999409,49023.3348141683,28
"74","FLH44","Repair of perforations (for example, perforated peptic ulcer, typhoid ileal perforation)","Algeria",25.5068386350623,16448.5287599368,419549.968863889,21727.2930154237,554194.556921128,134644.58805724,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",176.734999999649,64.1559999999958,761.844501980406,15
"75","HC18","Opportunistic screening for cervical cancer using visual inspection or HPV DNA testing and treatment of precancerous lesions with cryotherapy","Algeria",55.2648170426349,13361666.0898147,738430031.838388,16320999.3660869,901977043.919753,163547012.081365,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",553.410499999849,201.129000000001,295525.675933885,31
"76","HC36","Long-term combination therapy for persons with multiple CVD risk factors, including screening for CVD in community settings using non-lab-based tools to assess overall CVD risk","Algeria",43.1247635902797,1196952.86712462,51618309.4234565,1363795.22032377,58813346.4620159,7195037.03855935,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",107258.459999999,42206.826,67.0813009860423,7
"77","HC37.1","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Algeria",40.6506159790014,2958456.24749666,120263068.807664,3203090.87511182,130207617.110014,9944548.30234993,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",7971.27899999939,3130.13199999999,1247.54738886328,17
"78","HC37.2","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Algeria",40.6506159790014,18216288.4372496,740503345.825356,19760677.516205,803283713.196137,62780367.3707814,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",3201.52249999888,1165.95299999999,19609.5349543235,25
"79","HC38","Provision of aspirin for all cases of suspected acute myocardial infarction","Algeria",3.48433851248583,485875.093623619,1692953.30097044,568723.569592794,1981625.43649059,288672.135520152,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",30503.286999999,12000.378,9.46364027982169,2
"80","HC39","Screening and management of albuminuric kidney disease with ACEi or ARBs, including targeted screening among people with diabetes","Algeria",45.9136620249608,3994469.42345962,183400719.077765,4332203.3342147,198907319.710542,15506600.632777,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",272.763999999686,110.969999999991,56849.8798697588,30
"81","HC40","Screening and management of diabetes among at-risk adults, including glycemic control, management of blood pressure and lipids, and consistent foot care","Algeria",10.3305739556162,20259926.7960181,209296672.101635,22010861.8725979,227384836.401725,18088164.3000898,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",3858.89599999887,1608.326,4687.39357062101,18
"82","HC41","Secondary prophylaxis with penicillin for rheumatic fever or established rheumatic heart disease","Algeria",38.8634048052638,1085816.5778584,42198529.2095773,1173250.43369572,45596506.5426681,3397977.33309086,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",184.242999999843,65.9079999999893,18442.9114435488,24
"83","HC43","Long term management of ischemic heart disease, stroke, and peripheral vascular disease with aspirin, beta blockers, ACEi, and statins (as indicated) to reduce risk of further events","Algeria",8.15873905762048,10803456.113025,88142579.3466255,11738501.8710218,95771373.6930568,7628794.34643126,"North Africa and Middle East","Central Asia, Middle East and North Africa","Middle SDI","UMIC","DZA","2020-2030",108713.721499999,42789.439,70.1732425417089,8
