measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Tonga,Male,Age-standardized,Schizophrenia,Rate,2017,150.342823939,188.070829474,111.473098228
YLDs (Years Lived with Disability),Tonga,Female,Age-standardized,Schizophrenia,Rate,2017,139.95886005399998,175.500147154,102.68550319699999
YLDs (Years Lived with Disability),Tonga,Male,Age-standardized,Alcohol use disorders,Rate,2017,138.390231113,195.061363716,94.35037651569999
YLDs (Years Lived with Disability),Tonga,Female,Age-standardized,Alcohol use disorders,Rate,2017,80.4219836163,113.43015015499999,53.306795144999995
YLDs (Years Lived with Disability),Indonesia,Male,Age-standardized,Major depressive disorder,Rate,2017,185.728020482,254.82473012199998,128.445336266
YLDs (Years Lived with Disability),Indonesia,Female,Age-standardized,Major depressive disorder,Rate,2017,245.08399746100002,334.468872511,171.093705389
YLDs (Years Lived with Disability),Indonesia,Male,Age-standardized,Bipolar disorder,Rate,2017,107.38831157499999,158.338266349,67.1587690114
YLDs (Years Lived with Disability),Indonesia,Female,Age-standardized,Bipolar disorder,Rate,2017,107.26995239899999,158.85291406599998,67.19107831
YLDs (Years Lived with Disability),Lesotho,Male,Age-standardized,Major depressive disorder,Rate,2017,741.233530281,987.444377021,515.19815928
YLDs (Years Lived with Disability),Lesotho,Female,Age-standardized,Major depressive disorder,Rate,2017,1003.2561410399999,1343.90105627,697.159415389
YLDs (Years Lived with Disability),Lesotho,Male,Age-standardized,Bipolar disorder,Rate,2017,114.094403953,172.56342325600002,70.263132363
YLDs (Years Lived with Disability),Lesotho,Female,Age-standardized,Bipolar disorder,Rate,2017,121.524237105,182.212999615,74.5744506013
YLDs (Years Lived with Disability),Macedonia,Male,Age-standardized,Schizophrenia,Rate,2017,121.938715671,154.292433073,89.4559980786
YLDs (Years Lived with Disability),Macedonia,Female,Age-standardized,Schizophrenia,Rate,2017,123.181835414,155.57817578499998,91.6701417947
YLDs (Years Lived with Disability),Macedonia,Male,Age-standardized,Alcohol use disorders,Rate,2017,212.69005041399998,298.563656219,146.70242296
YLDs (Years Lived with Disability),Macedonia,Female,Age-standardized,Alcohol use disorders,Rate,2017,139.997572248,196.492866443,94.2503560117
YLDs (Years Lived with Disability),United Arab Emirates,Male,Age-standardized,Schizophrenia,Rate,2017,127.30183722199999,160.370242947,93.6699448029
YLDs (Years Lived with Disability),United Arab Emirates,Female,Age-standardized,Schizophrenia,Rate,2017,124.011971318,156.589879086,91.06994143360001
YLDs (Years Lived with Disability),United Arab Emirates,Male,Age-standardized,Alcohol use disorders,Rate,2017,78.8170013429,109.726418025,52.6316064506
YLDs (Years Lived with Disability),United Arab Emirates,Female,Age-standardized,Alcohol use disorders,Rate,2017,51.921785916400005,73.2211377445,34.7549589841
YLDs (Years Lived with Disability),Bahrain,Male,Age-standardized,Schizophrenia,Rate,2017,127.03007031199999,160.33194208999998,94.4374598003
YLDs (Years Lived with Disability),Bahrain,Female,Age-standardized,Schizophrenia,Rate,2017,122.17173812099999,154.520384122,88.8603818459
YLDs (Years Lived with Disability),Bahrain,Male,Age-standardized,Alcohol use disorders,Rate,2017,79.4311705905,110.672502629,52.9273833077
YLDs (Years Lived with Disability),Bahrain,Female,Age-standardized,Alcohol use disorders,Rate,2017,51.6828156425,72.6257796376,34.9346343474
YLDs (Years Lived with Disability),Indonesia,Male,Age-standardized,Schizophrenia,Rate,2017,152.64872898,189.604513137,113.07203813299999
YLDs (Years Lived with Disability),Indonesia,Female,Age-standardized,Schizophrenia,Rate,2017,134.592168877,166.395750821,99.7809227117
YLDs (Years Lived with Disability),Indonesia,Male,Age-standardized,Alcohol use disorders,Rate,2017,71.6805480778,99.2705434863,48.4328529604
YLDs (Years Lived with Disability),Indonesia,Female,Age-standardized,Alcohol use disorders,Rate,2017,54.70976676789999,76.1450159538,37.0879632646
YLDs (Years Lived with Disability),Mali,Male,Age-standardized,Schizophrenia,Rate,2017,103.733838513,131.34763229499998,77.5856681843
YLDs (Years Lived with Disability),Mali,Female,Age-standardized,Schizophrenia,Rate,2017,105.287000284,133.10415118,77.9133447771
YLDs (Years Lived with Disability),Mali,Male,Age-standardized,Alcohol use disorders,Rate,2017,98.81325205159999,138.44660239499999,66.8207244838
YLDs (Years Lived with Disability),Mali,Female,Age-standardized,Alcohol use disorders,Rate,2017,77.7900997969,110.63490884599999,52.941553821
YLDs (Years Lived with Disability),Mali,Male,Age-standardized,Major depressive disorder,Rate,2017,265.715366263,355.39772095,184.902080574
YLDs (Years Lived with Disability),Mali,Female,Age-standardized,Major depressive disorder,Rate,2017,483.31555189999995,663.4209267150001,337.915446456
YLDs (Years Lived with Disability),Mali,Male,Age-standardized,Bipolar disorder,Rate,2017,123.09229317799999,183.63480643,77.3573926822
YLDs (Years Lived with Disability),Mali,Female,Age-standardized,Bipolar disorder,Rate,2017,127.75792802599999,189.45688661900002,79.0146695192
YLDs (Years Lived with Disability),Japan,Male,Age-standardized,Bipolar disorder,Rate,2017,119.116164948,177.082131785,74.7184501858
YLDs (Years Lived with Disability),Japan,Female,Age-standardized,Bipolar disorder,Rate,2017,135.349815454,200.230866318,85.3400831547
YLDs (Years Lived with Disability),Brunei,Male,Age-standardized,Schizophrenia,Rate,2017,154.748848397,193.934442159,114.921115819
YLDs (Years Lived with Disability),Brunei,Female,Age-standardized,Schizophrenia,Rate,2017,164.706963838,208.73201052,122.80985806099999
YLDs (Years Lived with Disability),Brunei,Male,Age-standardized,Alcohol use disorders,Rate,2017,102.76307975699999,145.816361717,68.5648424275
YLDs (Years Lived with Disability),Brunei,Female,Age-standardized,Alcohol use disorders,Rate,2017,39.8657452806,56.78415935780001,26.3520051212
YLDs (Years Lived with Disability),Brunei,Male,Age-standardized,Major depressive disorder,Rate,2017,176.384245826,243.279107852,121.557743371
YLDs (Years Lived with Disability),Brunei,Female,Age-standardized,Major depressive disorder,Rate,2017,357.557651919,492.14677499100003,246.027368183
YLDs (Years Lived with Disability),Brunei,Male,Age-standardized,Bipolar disorder,Rate,2017,112.14034734500001,168.718688517,67.8801622262
YLDs (Years Lived with Disability),Brunei,Female,Age-standardized,Bipolar disorder,Rate,2017,124.793969519,186.31281538,77.03325630389999
YLDs (Years Lived with Disability),Ireland,Male,Age-standardized,Schizophrenia,Rate,2017,202.38623669299997,254.59782127600002,150.098606856
YLDs (Years Lived with Disability),Ireland,Female,Age-standardized,Schizophrenia,Rate,2017,179.674182788,225.770360719,132.69603479
YLDs (Years Lived with Disability),Ireland,Male,Age-standardized,Alcohol use disorders,Rate,2017,269.775377484,386.014394386,177.422065493
YLDs (Years Lived with Disability),Ireland,Female,Age-standardized,Alcohol use disorders,Rate,2017,118.583658764,167.51590911399998,78.2379119364
YLDs (Years Lived with Disability),Bahrain,Male,Age-standardized,Major depressive disorder,Rate,2017,505.85976105299994,696.718464973,348.82136836
YLDs (Years Lived with Disability),Bahrain,Female,Age-standardized,Major depressive disorder,Rate,2017,654.759156229,888.532425719,457.13995014
YLDs (Years Lived with Disability),Bahrain,Male,Age-standardized,Bipolar disorder,Rate,2017,156.615358433,237.537909481,97.31017797140001
YLDs (Years Lived with Disability),Bahrain,Female,Age-standardized,Bipolar disorder,Rate,2017,172.731946657,256.840216199,109.422750387
YLDs (Years Lived with Disability),Czech Republic,Male,Age-standardized,Schizophrenia,Rate,2017,123.435180189,155.09397055000002,89.54420529709999
YLDs (Years Lived with Disability),Czech Republic,Female,Age-standardized,Schizophrenia,Rate,2017,126.328054655,158.73114164700002,96.0756090496
YLDs (Years Lived with Disability),Czech Republic,Male,Age-standardized,Alcohol use disorders,Rate,2017,227.999031805,318.586959604,155.545419125
YLDs (Years Lived with Disability),Czech Republic,Female,Age-standardized,Alcohol use disorders,Rate,2017,162.286385878,223.97456988200003,109.61635477
YLDs (Years Lived with Disability),Czech Republic,Male,Age-standardized,Major depressive disorder,Rate,2017,284.232599719,387.411918079,197.738348251
YLDs (Years Lived with Disability),Czech Republic,Female,Age-standardized,Major depressive disorder,Rate,2017,373.863974021,505.62277548400004,259.37559783399996
YLDs (Years Lived with Disability),Czech Republic,Male,Age-standardized,Bipolar disorder,Rate,2017,128.291992062,188.691083644,80.60841896539999
YLDs (Years Lived with Disability),Czech Republic,Female,Age-standardized,Bipolar disorder,Rate,2017,147.115885833,218.54199999399998,90.9494266287
YLDs (Years Lived with Disability),Tonga,Male,Age-standardized,Major depressive disorder,Rate,2017,229.269110646,314.407127048,157.050360438
YLDs (Years Lived with Disability),Tonga,Female,Age-standardized,Major depressive disorder,Rate,2017,299.154504357,409.043076638,207.41388954299998
YLDs (Years Lived with Disability),Tonga,Male,Age-standardized,Bipolar disorder,Rate,2017,90.4657257342,135.834590207,57.003344925700006
YLDs (Years Lived with Disability),Tonga,Female,Age-standardized,Bipolar disorder,Rate,2017,90.7016949103,136.48274395800001,57.199027451899994
YLDs (Years Lived with Disability),Botswana,Male,Age-standardized,Schizophrenia,Rate,2017,110.646404816,139.589655125,81.1899711591
YLDs (Years Lived with Disability),Botswana,Female,Age-standardized,Schizophrenia,Rate,2017,108.05027647,137.328726444,78.47930553009999
YLDs (Years Lived with Disability),Botswana,Male,Age-standardized,Alcohol use disorders,Rate,2017,205.27681622400002,288.778939621,138.311060145
YLDs (Years Lived with Disability),Botswana,Female,Age-standardized,Alcohol use disorders,Rate,2017,104.84354011799999,145.519400628,71.1704817937
YLDs (Years Lived with Disability),Botswana,Male,Age-standardized,Major depressive disorder,Rate,2017,482.520675707,657.569976766,335.39178646700003
YLDs (Years Lived with Disability),Botswana,Female,Age-standardized,Major depressive disorder,Rate,2017,604.147032425,815.1030853310001,421.628646277
YLDs (Years Lived with Disability),Botswana,Male,Age-standardized,Bipolar disorder,Rate,2017,119.75738922200001,178.83261660399998,74.44368410850001
YLDs (Years Lived with Disability),Botswana,Female,Age-standardized,Bipolar disorder,Rate,2017,128.240026845,192.096052127,80.6846349849
YLDs (Years Lived with Disability),United Arab Emirates,Male,Age-standardized,Major depressive disorder,Rate,2017,343.074108573,475.067763991,239.246000625
YLDs (Years Lived with Disability),United Arab Emirates,Female,Age-standardized,Major depressive disorder,Rate,2017,436.74716307500006,601.893052949,304.956127201
YLDs (Years Lived with Disability),United Arab Emirates,Male,Age-standardized,Bipolar disorder,Rate,2017,149.057948352,222.776444058,92.8190013964
YLDs (Years Lived with Disability),United Arab Emirates,Female,Age-standardized,Bipolar disorder,Rate,2017,170.103131729,258.81197986300003,105.20081222
YLDs (Years Lived with Disability),Ecuador,Male,Age-standardized,Schizophrenia,Rate,2017,131.668798895,166.729469722,96.87407753529999
YLDs (Years Lived with Disability),Ecuador,Female,Age-standardized,Schizophrenia,Rate,2017,118.251262986,148.265332377,86.5488372989
YLDs (Years Lived with Disability),Ecuador,Male,Age-standardized,Alcohol use disorders,Rate,2017,248.51894513099998,347.44316111,168.194892565
YLDs (Years Lived with Disability),Ecuador,Female,Age-standardized,Alcohol use disorders,Rate,2017,82.0845345035,116.28438828200001,54.9380113767
YLDs (Years Lived with Disability),Macedonia,Male,Age-standardized,Major depressive disorder,Rate,2017,206.628726028,279.763560219,142.69076146100002
YLDs (Years Lived with Disability),Macedonia,Female,Age-standardized,Major depressive disorder,Rate,2017,336.384414193,456.152766795,236.165707167
YLDs (Years Lived with Disability),Macedonia,Male,Age-standardized,Bipolar disorder,Rate,2017,130.831442259,194.914214789,80.91602585119999
YLDs (Years Lived with Disability),Macedonia,Female,Age-standardized,Bipolar disorder,Rate,2017,145.63198919,217.499682457,91.8882039401
YLDs (Years Lived with Disability),Algeria,Male,Age-standardized,Major depressive disorder,Rate,2017,401.489668858,547.174570075,277.562298505
YLDs (Years Lived with Disability),Algeria,Female,Age-standardized,Major depressive disorder,Rate,2017,590.616784387,808.386960227,410.338342559
YLDs (Years Lived with Disability),Algeria,Male,Age-standardized,Bipolar disorder,Rate,2017,150.248459347,223.592378385,93.237952032
YLDs (Years Lived with Disability),Algeria,Female,Age-standardized,Bipolar disorder,Rate,2017,163.879795819,241.496895487,101.78493655300001
YLDs (Years Lived with Disability),Mauritania,Male,Age-standardized,Schizophrenia,Rate,2017,110.70446021200001,139.605175854,83.1688649856
YLDs (Years Lived with Disability),Mauritania,Female,Age-standardized,Schizophrenia,Rate,2017,112.125699341,143.74144977199998,82.3493533842
YLDs (Years Lived with Disability),Mauritania,Male,Age-standardized,Alcohol use disorders,Rate,2017,102.23977707099999,142.749481612,68.38936694030001
YLDs (Years Lived with Disability),Mauritania,Female,Age-standardized,Alcohol use disorders,Rate,2017,78.6962170056,111.30659212100001,53.344581067200004
YLDs (Years Lived with Disability),Mauritania,Male,Age-standardized,Major depressive disorder,Rate,2017,318.324036478,434.244545717,222.86788271999998
YLDs (Years Lived with Disability),Mauritania,Female,Age-standardized,Major depressive disorder,Rate,2017,451.362273016,614.457293638,313.203248655
YLDs (Years Lived with Disability),Mauritania,Male,Age-standardized,Bipolar disorder,Rate,2017,128.853664217,193.336862898,79.8758505311
YLDs (Years Lived with Disability),Mauritania,Female,Age-standardized,Bipolar disorder,Rate,2017,134.772333193,203.430949585,83.82254813579999
YLDs (Years Lived with Disability),Ecuador,Male,Age-standardized,Major depressive disorder,Rate,2017,317.727141821,439.522098449,218.315593538
YLDs (Years Lived with Disability),Ecuador,Female,Age-standardized,Major depressive disorder,Rate,2017,475.89915883500004,647.845439535,328.87189278100004
YLDs (Years Lived with Disability),Ecuador,Male,Age-standardized,Bipolar disorder,Rate,2017,163.7625263,244.89624417000002,103.804131949
YLDs (Years Lived with Disability),Ecuador,Female,Age-standardized,Bipolar disorder,Rate,2017,184.482647849,278.06243778500004,116.129239996
YLDs (Years Lived with Disability),Comoros,Male,Age-standardized,Major depressive disorder,Rate,2017,329.342225527,450.82410697499995,231.233226642
YLDs (Years Lived with Disability),Comoros,Female,Age-standardized,Major depressive disorder,Rate,2017,526.369822591,714.4111176260001,369.001400904
YLDs (Years Lived with Disability),Comoros,Male,Age-standardized,Bipolar disorder,Rate,2017,126.62433591599999,190.579443451,78.922795153
YLDs (Years Lived with Disability),Comoros,Female,Age-standardized,Bipolar disorder,Rate,2017,135.312867549,203.07638844299998,83.4335956026
YLDs (Years Lived with Disability),Egypt,Male,Age-standardized,Schizophrenia,Rate,2017,116.68168599500001,147.08100751199999,84.9224854428
YLDs (Years Lived with Disability),Egypt,Female,Age-standardized,Schizophrenia,Rate,2017,111.728291385,140.980539926,81.9138165984
YLDs (Years Lived with Disability),Egypt,Male,Age-standardized,Alcohol use disorders,Rate,2017,75.3684543688,104.942042202,50.3932158329
YLDs (Years Lived with Disability),Egypt,Female,Age-standardized,Alcohol use disorders,Rate,2017,51.3336697508,72.73230942660001,33.7980978767
YLDs (Years Lived with Disability),Laos,Male,Age-standardized,Schizophrenia,Rate,2017,143.29193551600002,182.027565036,106.444893569
YLDs (Years Lived with Disability),Laos,Female,Age-standardized,Schizophrenia,Rate,2017,126.89122378900001,160.692422095,93.3625447953
YLDs (Years Lived with Disability),Laos,Male,Age-standardized,Alcohol use disorders,Rate,2017,121.928837349,168.325030425,82.8218738231
YLDs (Years Lived with Disability),Laos,Female,Age-standardized,Alcohol use disorders,Rate,2017,56.1898546222,80.2059036237,37.7741755477
YLDs (Years Lived with Disability),Egypt,Male,Age-standardized,Major depressive disorder,Rate,2017,349.259440827,476.51212343900005,243.664709578
YLDs (Years Lived with Disability),Egypt,Female,Age-standardized,Major depressive disorder,Rate,2017,555.494144003,764.738448195,385.47127680799997
YLDs (Years Lived with Disability),Egypt,Male,Age-standardized,Bipolar disorder,Rate,2017,145.836202212,222.617268814,91.3909336855
YLDs (Years Lived with Disability),Egypt,Female,Age-standardized,Bipolar disorder,Rate,2017,157.46362075599998,234.60306042399998,98.8833625398
YLDs (Years Lived with Disability),Montenegro,Male,Age-standardized,Schizophrenia,Rate,2017,120.676545637,151.891531638,88.01191438170001
YLDs (Years Lived with Disability),Montenegro,Female,Age-standardized,Schizophrenia,Rate,2017,123.556635126,157.545728485,90.520870768
YLDs (Years Lived with Disability),Montenegro,Male,Age-standardized,Alcohol use disorders,Rate,2017,217.159808688,303.569172789,149.609715392
YLDs (Years Lived with Disability),Montenegro,Female,Age-standardized,Alcohol use disorders,Rate,2017,131.495116258,183.86963580399998,86.2571127125
YLDs (Years Lived with Disability),Northern Mariana Islands,Male,Age-standardized,Major depressive disorder,Rate,2017,314.661450661,428.981742472,217.085857529
YLDs (Years Lived with Disability),Northern Mariana Islands,Female,Age-standardized,Major depressive disorder,Rate,2017,282.936642231,387.129591904,198.00030885
YLDs (Years Lived with Disability),Northern Mariana Islands,Male,Age-standardized,Bipolar disorder,Rate,2017,93.827528741,144.142892527,56.5669652722
YLDs (Years Lived with Disability),Northern Mariana Islands,Female,Age-standardized,Bipolar disorder,Rate,2017,95.9642685618,142.490515651,60.1462992884
YLDs (Years Lived with Disability),Laos,Male,Age-standardized,Major depressive disorder,Rate,2017,255.202882087,354.745730264,172.958565364
YLDs (Years Lived with Disability),Laos,Female,Age-standardized,Major depressive disorder,Rate,2017,279.619959411,381.974782736,192.79851007000002
YLDs (Years Lived with Disability),Laos,Male,Age-standardized,Bipolar disorder,Rate,2017,106.72643479799999,156.798772508,65.85943578610001
YLDs (Years Lived with Disability),Laos,Female,Age-standardized,Bipolar disorder,Rate,2017,105.08612438899999,159.038180555,65.4748130569
YLDs (Years Lived with Disability),Lesotho,Male,Age-standardized,Schizophrenia,Rate,2017,97.58274719350001,123.56899450499999,72.0759687123
YLDs (Years Lived with Disability),Lesotho,Female,Age-standardized,Schizophrenia,Rate,2017,96.21304135689999,120.65369032299999,70.9285531646
YLDs (Years Lived with Disability),Lesotho,Male,Age-standardized,Alcohol use disorders,Rate,2017,216.21995203199998,300.109563384,149.17257747800002
YLDs (Years Lived with Disability),Lesotho,Female,Age-standardized,Alcohol use disorders,Rate,2017,105.262650211,146.56211782900002,71.9131642538
YLDs (Years Lived with Disability),Montenegro,Male,Age-standardized,Major depressive disorder,Rate,2017,236.865507046,324.35401711000003,166.414220898
YLDs (Years Lived with Disability),Montenegro,Female,Age-standardized,Major depressive disorder,Rate,2017,384.30039381800003,525.185347146,268.522922847
YLDs (Years Lived with Disability),Montenegro,Male,Age-standardized,Bipolar disorder,Rate,2017,128.83774814,190.985491586,79.98073813250001
YLDs (Years Lived with Disability),Montenegro,Female,Age-standardized,Bipolar disorder,Rate,2017,146.208325526,223.534757779,91.6629400633
YLDs (Years Lived with Disability),United States,Male,Age-standardized,Schizophrenia,Rate,2017,195.64828680500003,240.825268306,146.300727158
YLDs (Years Lived with Disability),United States,Female,Age-standardized,Schizophrenia,Rate,2017,187.763249399,230.282902495,140.220261081
